official_name,short_name,ISO3,Year,Value,ISO
Federal Republic of Nigeria,Nigeria,NGA,2019.0,24.3341156293596,NGA
Federal Republic of Nigeria,Nigeria,NGA,2020.0,22.08,NGA
Republic of Macedonia,Macedonia,MKD,2018.0,3.78491942634224,MKD
Republic of Macedonia,Macedonia,MKD,2019.0,3.50313185482233,MKD
Republic of Macedonia,Macedonia,MKD,2020.0,3.35,MKD
Sultanate of Oman,Oman,OMN,2018.0,3.30607656873333,OMN
Sultanate of Oman,Oman,OMN,2019.0,3.05375369949119,OMN
Sultanate of Oman,Oman,OMN,2020.0,3.07,OMN
Republic of Panama,Panama,PAN,2018.0,2.65880721220527,PAN
Republic of Panama,Panama,PAN,2019.0,2.56454849498328,PAN
Republic of Panama,Panama,PAN,2020.0,4.49,PAN
Republic of Paraguay,Paraguay,PRY,2018.0,4.9915522939181,PRY
Republic of Paraguay,Paraguay,PRY,2019.0,5.12919620428312,PRY
Republic of Paraguay,Paraguay,PRY,2020.0,4.98,PRY
Republic of Peru,Peru,PER,2018.0,3.38031039026713,PER
Republic of Peru,Peru,PER,2019.0,3.35865837222552,PER
Republic of Peru,Peru,PER,2020.0,3.56,PER
Republic of the Philippines,Philippines,PHL,2018.0,4.29330620916446,PHL
Republic of the Philippines,Philippines,PHL,2019.0,4.13718598348052,PHL
Republic of the Philippines,Philippines,PHL,2020.0,7.85,PHL
Portuguese Republic,Portugal,PRT,2018.0,1.4171454117647,PRT
Portuguese Republic,Portugal,PRT,2019.0,1.35021783384749,PRT
Portuguese Republic,Portugal,PRT,2020.0,1.49,PRT
State of Qatar,Qatar,QAT,2018.0,1.61735239413081,QAT
State of Qatar,Qatar,QAT,2019.0,1.55970823058824,QAT
State of Qatar,Qatar,QAT,2020.0,1.72,QAT
Republic of Korea,South Korea,KOR,2018.0,1.15856645131228,KOR
Republic of Korea,South Korea,KOR,2019.0,1.12042858768683,KOR
Republic of Korea,South Korea,KOR,2020.0,1.11,KOR
Republic of Moldova,Moldova,MDA,2018.0,3.63459792287405,MDA
Republic of Moldova,Moldova,MDA,2019.0,4.7772474371,MDA
Republic of Moldova,Moldova,MDA,2020.0,2.25,MDA
Romania,Romania,ROU,2018.0,0.799064588357382,ROU
Romania,Romania,ROU,2019.0,0.723143962384798,ROU
Romania,Romania,ROU,2020.0,0.67,ROU
Russian Federation,Russia,RUS,2018.0,0.838797182276638,RUS
Russian Federation,Russia,RUS,2019.0,0.680230480071048,RUS
Russian Federation,Russia,RUS,2020.0,0.64,RUS
Republic of Rwanda,Rwanda,RWA,2018.0,125.06281863172,RWA
Republic of Rwanda,Rwanda,RWA,2019.0,118.962193333171,RWA
Republic of Rwanda,Rwanda,RWA,2020.0,48.14,RWA
Saint Lucia,St. Lucia,LCA,2018.0,3.71804511278196,LCA
Saint Lucia,St. Lucia,LCA,2019.0,3.79149021985481,LCA
Saint Lucia,St. Lucia,LCA,2020.0,4.07,LCA
Kingdom of Saudi Arabia,Saudi Arabia,SAU,2018.0,1.24444444444444,SAU
Kingdom of Saudi Arabia,Saudi Arabia,SAU,2019.0,1.17636761487965,SAU
Kingdom of Saudi Arabia,Saudi Arabia,SAU,2020.0,2.88,SAU
Republic of Senegal,Senegal,SEN,2018.0,19.8970453197004,SEN
Republic of Senegal,Senegal,SEN,2019.0,19.2109403089655,SEN
Republic of Senegal,Senegal,SEN,2020.0,18.75,SEN
Republic of Serbia,Serbia,SRB,2018.0,2.89929905218438,SRB
Republic of Serbia,Serbia,SRB,2019.0,2.64323560307692,SRB
Republic of Serbia,Serbia,SRB,2020.0,2.77,SRB
Republic of Seychelles,Seychelles,SYC,2018.0,1.41806492582952,SYC
Republic of Seychelles,Seychelles,SYC,2019.0,1.02905848901008,SYC
Republic of Seychelles,Seychelles,SYC,2020.0,1.02,SYC
Republic of Sierra Leone,Sierra Leone,SLE,2018.0,,SLE
Republic of Sierra Leone,Sierra Leone,SLE,2019.0,,SLE
Republic of Sierra Leone,Sierra Leone,SLE,2020.0,,SLE
Republic of South Africa,South Africa,ZAF,2018.0,6.50643928809234,ZAF
Republic of South Africa,South Africa,ZAF,2019.0,6.19404402417219,ZAF
Republic of South Africa,South Africa,ZAF,2020.0,4.69,ZAF
Kingdom of Spain,Spain,ESP,2018.0,2.17501853783805,ESP
Kingdom of Spain,Spain,ESP,2019.0,1.86527859395854,ESP
Kingdom of Spain,Spain,ESP,2020.0,1.72,ESP
Democratic Socialist Republic of Sri Lanka,Sri Lanka,LKA,2018.0,1.09239160335771,LKA
Democratic Socialist Republic of Sri Lanka,Sri Lanka,LKA,2019.0,0.990028104358209,LKA
